cve_id,hash,repo_url,fix_date,introduced_date
GHSA-qc36-q22q-cjw3,8bfc20506cc5e098fe6eb3d1cafe3bea791215ce,https://github.com/lettre/lettre,2021-05-22 19:58:27+02:00,2017-08-20 00:42:45+02:00
GHSA-r626-fc64-3q28,34c2b9e,https://github.com/SonicFrog/abox,2021-01-22 21:40:32-05:00,2018-05-14 17:08:08+02:00
GHSA-88xq-w8cq-xfg7,886ecc562040bef61faf19438c22285c2d62403a,https://github.com/bytecodealliance/wasmtime,2022-02-16 10:00:19-08:00,
GHSA-2wc6-2rcj-8v76,24c7a5550807ac8a09648b5878f19d14c3a69135,https://github.com/sodiumoxide/sodiumoxide,2017-01-26 20:24:31+01:00,2013-12-08 01:21:17+01:00
GHSA-q3cc-7p7g-392c,ac30e169ae51b262bc8cf7026469851ce39b23c6,https://github.com/rusqlite/rusqlite,2020-04-14 10:26:41-07:00,2015-12-12 14:06:03-05:00
GHSA-m296-j53x-xv95,7ab8a264980d23c2ed64e72f4636f38b7381eb39,https://github.com/KizzyCode/tiny_future,2020-12-08 17:33:00+01:00,2018-03-22 13:04:59+01:00
GHSA-m296-j53x-xv95,c7919199a0f6d1ce0e3c33499d1b37f862c990e4,https://github.com/KizzyCode/tiny_future,2020-12-08 17:29:30+01:00,2018-02-25 20:34:29+01:00
GHSA-8h4j-vm3r-vcq3,2ef3628dac35aeba0a97d5fb3a57746b4e1d62b3,https://github.com/rusqlite/rusqlite,2020-04-14 08:06:37-07:00,2015-08-09 13:06:23+02:00
GHSA-p24j-h477-76q3,bf2b2df9c9e218e35e5a38ce3d03cffb7c363956,https://github.com/sharkdp/bat,2021-07-12 23:17:30+02:00,2021-02-16 09:11:27+01:00
GHSA-f6g6-54hm-fhxv,a34d6e1,https://github.com/mvertescher/libsbc-rs,2021-01-22 21:06:34-05:00,2018-09-17 14:26:03-04:00
GHSA-686f-ch3r-xwmh,92f40b4a2c671553dfa96feacff0265206c44ce5,https://github.com/udoprog/unicycle,2020-11-15 07:19:02+01:00,2020-01-24 20:26:36+01:00
GHSA-hf79-8hjp-rrvq,7c7757c772fb709c61b1442bcc1e1fbee97bf4a8,https://github.com/bytecodealliance/lucet,2021-11-29 15:00:02-08:00,2019-01-22 15:48:00-08:00
GHSA-fqq2-xp7m-xvm8,b0d2bd20eb40b9cbc2958b981ba2dcd9e6f9396e,https://github.com/RusPiRo/ruspiro-singleton,2020-11-16 21:32:29+01:00,2019-07-26 13:48:23+02:00
GHSA-rmff-f8w9-c9rm,0a1da873ddb29bca926bad8301f8d7ab8aa97c52,https://github.com/edarc/max7301,2021-03-30 15:55:39-05:00,2019-02-18 23:34:50-08:00
GHSA-hpcx-3pw8-g3j2,2820cf12f2e08645fd6d1f15b4a90a54d6082a81,https://github.com/Yoric/telemetry.rs,2021-03-29 10:37:25+02:00,2015-10-11 21:14:01+02:00
