id,package,repo_url,sfp_id,modified,published,vul_version,summary,details,severity,references
GHSA-x446-3xhq-5xfp,Simple-Wayland-HotKey-Daemon,https://github.com/waycrate/swhkd,['Information Leak'],2022-04-26 13:03:51+00:00,2022-04-15T00:00:40Z,"[('0', '1.2.0')]","Exposure of Resource to Wrong Sphere in Simple-Wayland-HotKey-Daemon
","SWHKD 1.1.5 allows arbitrary file-existence tests via the -c option.
",Low,"['https://nvd.nist.gov/vuln/detail/CVE-2022-27814', 'https://github.com/waycrate/swhkd', 'https://www.openwall.com/lists/oss-security/2022/04/14/1', 'https://github.com/waycrate/swhkd/releases', 'https://github.com/waycrate/swhkd/releases/tag/1.2.0']"
GHSA-h6xw-mghq-7523,Simple-Wayland-HotKey-Daemon,https://github.com/waycrate/swhkd,['Resource Management'],2022-04-15 16:14:51+00:00,2022-04-08T00:00:24Z,"[('0', '1.1.7')]","Unsafe parsing in SWHKD
","SWHKD 1.1.5 allows unsafe parsing via the -c option. An information leak might occur but there is a simple denial of service (memory exhaustion) upon an attempt to parse a large or infinite file (such as a block or character device).
",Medium,"['https://nvd.nist.gov/vuln/detail/CVE-2022-27819', 'https://github.com/waycrate/swhkd', 'https://github.com/waycrate/swhkd/commit/b4e6dc76f4845ab03104187a42ac6d1bbc1e0021', 'https://github.com/waycrate/swhkd/releases/tag/1.1.7', 'https://github.com/waycrate/swhkd/releases', 'http://www.openwall.com/lists/oss-security/2022/04/14/1']"
GHSA-h5wh-7h2j-h999,Simple-Wayland-HotKey-Daemon,https://github.com/waycrate/swhkd,['Information Leak'],2022-04-26 13:04:22+00:00,2022-04-15T00:00:40Z,"[('0', None)]","Exposure of Resource to Wrong Sphere in Simple-Wayland-HotKey-Daemon
","SWHKD 1.1.5 consumes the keyboard events of unintended users. This could potentially cause an information leak, but is usually a denial of functionality.
",Medium,"['https://www.openwall.com/lists/oss-security/2022/04/14/1', 'https://github.com/waycrate/swhkd/releases', 'https://github.com/waycrate/swhkd', 'https://nvd.nist.gov/vuln/detail/CVE-2022-27817']"
GHSA-p4jg-pccf-h82c,Simple-Wayland-HotKey-Daemon,https://github.com/waycrate/swhkd,['Information Leak'],2022-04-06 23:57:05+00:00,2022-03-31T00:00:24Z,"[('0', '1.2.0')]","Insecure Temporary File in SWHKD
","SWHKD is a display protocol-independent hotkey daemon made in Rust. In SWHKD versions 1.1.5 and prior, SWHKD uses the /tmp/swhkd.pid pathname. As /tmp is accessible to all users, there can be an information leak or denial of service. No known workarounds exist. A patch is available on the `1.1.0` branch of the repository.
",Critical,"['https://github.com/waycrate/swhkd/commit/e661a4940df78fbb7b52c622ac4ae6a3a7f7d8aa', 'https://nvd.nist.gov/vuln/detail/CVE-2022-27815', 'https://github.com/waycrate/swhkd', 'https://github.com/waycrate/swhkd/releases', 'https://github.com/waycrate/swhkd/releases/tag/1.2.0', 'http://www.openwall.com/lists/oss-security/2022/04/14/1']"
GHSA-8m49-2xj8-67v9,Simple-Wayland-HotKey-Daemon,https://github.com/waycrate/swhkd,['Path Resolution'],2022-04-28 18:02:03+00:00,2022-03-31T00:00:24Z,"[('0', '1.2.0')]","Data Loss/Denial of Service in SWHKD
","SWHKD 1.1.5 unsafely uses the /tmp/swhks.pid pathname. There can be data loss or a denial of service. A patch is available on the `1.1.0` branch of the repository.
",High,"['https://nvd.nist.gov/vuln/detail/CVE-2022-27816', 'https://github.com/waycrate/swhkd/commit/0b620a09605afb815c6d8d8953bbb7a10a8c0575', 'https://github.com/waycrate/swhkd', 'https://github.com/waycrate/swhkd/releases/tag/1.2.0', 'http://www.openwall.com/lists/oss-security/2022/04/14/1']"
GHSA-r3r5-jhw6-4634,Simple-Wayland-HotKey-Daemon,https://github.com/waycrate/swhkd,['Information Leak'],2022-04-19 18:16:59+00:00,2022-04-08T00:00:24Z,"[('0', '1.1.7')]","Insecure temporary file usage in SWHKD
","SWHKD 1.1.5 unsafely uses the /tmp/swhkd.sock pathname. There can be an information leak or denial of service.
",Critical,"['https://github.com/waycrate/swhkd/commit/f70b99dd575fab79d8a942111a6980431f006818', 'https://github.com/waycrate/swhkd', 'https://github.com/waycrate/swhkd/releases/tag/1.1.7', 'https://github.com/waycrate/swhkd/releases', 'https://nvd.nist.gov/vuln/detail/CVE-2022-27818', 'http://www.openwall.com/lists/oss-security/2022/04/14/1']"
GHSA-wqxc-qrq4-w5v4,abi_stable,https://github.com/rodrimati1992/abi_stable_crates/,"['Resource Management', 'Memory Management', 'Tainted Input']",2021-07-26 17:18:54+00:00,2021-08-25T21:01:33Z,"[('0', '0.9.1'), ('0.0.0-0', '0.9.1')]","Update unsound DrainFilter and RString::retain
Update unsound DrainFilter and RString::retain
Update unsound DrainFilter and RString::retain
","Affected versions of this crate contained code from the Rust standard library that contained soundness bugs rust-lang/rust#60977 (double drop) & rust-lang/rust#78498 (create invalid utf-8 string).

The flaw was corrected in v0.9.1 by making a similar fix to the one made in the Rust standard library.
An issue was discovered in the abi_stable crate before 0.9.1 for Rust. DrainFilter lacks soundness because of a double drop.
An issue was discovered in the abi_stable crate before 0.9.1 for Rust. A retain call can create an invalid UTF-8 string, violating soundness.
",High,"['https://github.com/rodrimati1992/abi_stable_crates/issues/44', 'https://rustsec.org/advisories/RUSTSEC-2020-0105.html', 'https://crates.io/crates/abi_stable', 'https://nvd.nist.gov/vuln/detail/CVE-2020-36212', 'https://nvd.nist.gov/vuln/detail/CVE-2020-36213']"
RUSTSEC-2021-0120,abomonation,https://github.com/TimelyDataflow/abomonation.git,['Information Leak'],2021-10-17 21:33:02+00:00,2021-10-17T12:00:00Z,"[('0.0.0-0', None), ('0', None)]","Exposure of Resource to Wrong Sphere in abomonation
abomonation transmutes &T to and from &[u8] without sufficient constraints
","An issue was discovered in the abomonation crate through 2021-10-17 for Rust. Because transmute operations are insufficiently constrained, there can be an information leak or ASLR bypass.
This transmute is at the core of the abomonation crates. It's so easy to use it to violate alignment requirements that no test in the crate's test suite passes under miri.
The use of this transmute in serialization/deserialization also incorrectly assumes that the layout of a repr(Rust) type is stable.
This transmute can also disclose both the contents of padding bytes which may be an information leak and the contents of pointers, which may be used to defeat ASLR.
",High,"['https://github.com/TimelyDataflow/abomonation/issues/23', 'https://crates.io/crates/abomonation', 'https://github.com/TimelyDataflow/abomonation', 'https://nvd.nist.gov/vuln/detail/CVE-2021-45708', 'https://rustsec.org/advisories/RUSTSEC-2021-0120.html', 'https://raw.githubusercontent.com/rustsec/advisory-db/main/crates/abomonation/RUSTSEC-2021-0120.md']"
GHSA-r626-fc64-3q28,abox,https://github.com/SonicFrog/abox,"['Memory Access', 'Synchronization', 'Memory Management']",2021-08-24 19:15:13+00:00,2021-08-25T20:59:06Z,"[('0.0.0-0', '0.4.1'), ('0', '0.4.1')]","AtomicBox<T> implements Send/Sync for any `T: Sized`
Data race in abox
","Affected versions of this crate implements `Send`/`Sync` for `AtomicBox<T>` without requiring `T: Send`/`T: Sync`. This allows to create data races to `T: !Sync` and send `T: !Send` to another thread.

Such behavior breaks the compile-time thread safety guarantees of Rust, and allows users to incur undefined behavior using safe Rust (e.g. memory corruption from data race).

The flaw was corrected in commit 34c2b9e by adding trait bound `T: Send` to `Send` impl for `AtomicBox<T>` and trait bound `T: Sync` to `Sync` impl for `AtomicBox<T>`.
An issue was discovered in the abox crate before 0.4.1 for Rust. 

Affected versions of this crate implements `Send`/`Sync` for `AtomicBox<T>` without requiring `T: Send`/`T: Sync`. This allows to create data races to `T: !Sync` and send `T: !Send` to another thread.

Such behavior breaks the compile-time thread safety guarantees of Rust, and allows users to incur undefined behavior using safe Rust (e.g. memory corruption from data race).

The flaw was corrected in commit 34c2b9e by adding trait bound `T: Send` to `Send` impl for `AtomicBox<T>` and trait bound `T: Sync` to `Sync` impl for `AtomicBox<T>`.
",High,"['https://rustsec.org/advisories/RUSTSEC-2020-0121.html', 'https://nvd.nist.gov/vuln/detail/CVE-2020-36441', 'https://github.com/SonicFrog/abox/issues/1', 'https://crates.io/crates/abox', 'https://github.com/SonicFrog/abox/pull/2', 'https://github.com/SonicFrog/abox/commit/34c2b9e', 'https://github.com/SonicFrog/abox']"
GHSA-p4cr-64x4-f92f,acc_reader,https://github.com/netvl/acc_reader,"['Memory Access', 'Exception Management']",2022-01-07 16:21:25+00:00,2022-01-06T22:17:23Z,"[('0.0.0-0', None), ('0', None)]","Use of Uninitialized Resource in acc_reader.
`Read` on uninitialized buffer in `fill_buf()` and `read_up_to()`
Use of Uninitialized Resource in acc_reader.
","An issue was discovered in the acc_reader crate through 2020-12-27 for Rust. read_up_to may read from uninitialized memory locations.
Affected versions of this crate passes an uninitialized buffer to a user-provided `Read` implementation.

Arbitrary `Read` implementations can read from the uninitialized buffer (memory exposure) and also can return incorrect number of bytes written to the buffer.
Reading from uninitialized memory produces undefined values that can quickly invoke undefined behavior.
An issue was discovered in the acc_reader crate through 2020-12-27 for Rust. fill_buf may read from uninitialized memory locations.
",Critical,"['https://github.com/netvl/acc_reader', 'https://crates.io/crates/acc_reader', 'https://rustsec.org/advisories/RUSTSEC-2020-0155.html', 'https://nvd.nist.gov/vuln/detail/CVE-2020-36514', 'https://github.com/netvl/acc_reader/issues/1', 'https://nvd.nist.gov/vuln/detail/CVE-2020-36513', 'https://raw.githubusercontent.com/rustsec/advisory-db/main/crates/acc_reader/RUSTSEC-2020-0155.md']"
